title,author,publisher,price,language,pages,genre,category,target,EAN,code,year,url
Գիշերային լողորդը,Հանսյորգ Շերթենլայբ,,2400 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/gisherayin-lokhordy
Երկու հեքիաթ,Վաչագան Սարգսյան,,1180 դրամ,,,Մանկական,Հայ հեղինակներ,,,,,https://zangakbookstore.am/erku-heqiat
Քաջ Նազարը,Հովհաննես Թումանյան,Անտարես,1990 դրամ,Հայերեն,17,Մանկական,Հայ հեղինակներ,6+,9789939763026,00040670,2018,https://zangakbookstore.am/qaj-nazary
Խռովարարի խոստովանությունը,Բորիս Նեմցով,Գրատուն,3700 դրամ,Կոշտ,140x210,Ոչ գեղարվեստական,Կենսագրություն և հուշեր,,00040652,2019,Հայերեն,https://zangakbookstore.am/khrovarari-khostovanutyuny
Fight Club,Չաք Պալանիկ,,2500 դրամ,,,Ուսումնական,Ուսումնաօժանդակ,,,,,https://zangakbookstore.am/fight-club
Look whos back,Թիմուր Վերմեշ,,9600 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/look-whos-back
Փոքրիկ Իշխանը-կենդանի գիրք,Անտուան դը Սենտ-Էքզյուպերի,Անտարես,14990 դրամ,Հայերեն,64,Պատանեկան,Գեղարվեստական,12+,9789939515922,00001239,2018,https://zangakbookstore.am/poqrik-ishkhany-kendani-girq
"Նա, ով մենակ է (Կոշտ կազմ)",Գոթֆրիդ Բեն,,3990 դրամ,,,Գեղարվեստական,Պոեզիա,,,,,https://zangakbookstore.am/na-ov-menak-e
Մկների ժողովը,Աթաբեկ Խնկոյան,,990 դրամ,,,Մանկական,Պատկերագրքեր,,,,,https://zangakbookstore.am/mkneri-zhokhovy
Մտացրիվ հանճարը,,,1950 դրամ,,,Մանկական,Ճանաչողական և զարգացնող,,,,,https://zangakbookstore.am/mtatsriv-hanchary
Մանդիլիոն,Վահան Հովհաննիսյան,,5000 դրամ,,,Գեղարվեստական,Հայ ժամանակակից արձակ,,,,,https://zangakbookstore.am/mandilion
"Քաոս, Պատվի համար",Ալեքսանդր Շիրվանզադե,,4990 դրամ,,,Գեղարվեստական,Հայ դասական գրականություն,,,,,https://zangakbookstore.am/qaos-patvi-hamar
"Փոքրիկը, ով գրքեր էր սիրում",,Անտարես,1950 դրամ,Հայերեն,8+,Մանկական,Ճանաչողական և զարգացնող,,9789939511566,00001203,2021,https://zangakbookstore.am/poqriky-ov-grqer-er-sirum
Փոքրիկ իշխանը ներկիր ինքդ,Անտուան դը Սենտ-Էքզյուպերի,Անտարես,990 դրամ,Հայերեն,40,Մանկական,Ինտերակտիվ և խաղային,6+,9789939616926,00001201,2010,https://zangakbookstore.am/poqrik-ishkhany-nerkir-inqd
Համակարգիչներ և ռոբոտներ,Ռայներ Կյոթե,,3990 դրամ,,,Մանկական,Ճանաչողական և զարգացնող,,,,,https://zangakbookstore.am/hamakargichner-ev-robotner
Հին Չինաստան,Վալտեր Ֆլեմեր,,2990 դրամ,,,Մանկական,Ճանաչողական և զարգացնող,,,,,https://zangakbookstore.am/hin-chinastan
Կատուներ,,Անտարես,590 դրամ,Հայերեն,8+,Մանկական,Ճանաչողական և զարգացնող,,9789994157952,00001168,2021,https://zangakbookstore.am/katuner
Վարպետը և Մարգարիտան,Միխայիլ Բուլգակով,,4990 դրամ,,,Գեղարվեստական,Արտասահմանյան դասական արձակ,,,,,https://zangakbookstore.am/varpety-ev-margaritan
Սուլամիթա Սևակի մեծ սերը գիրք երկրորդ (Կոշտ կազմ),Հովիկ Չարխչյան,,5990 դրամ,,,Ոչ գեղարվեստական,Կենսագրություն և հուշեր,,,,,https://zangakbookstore.am/sulamita-sevaki-mets-sery-girq-erkrord
Սուլամիթա Սևակի մեծ սերը գիրք առաջին (Կոշտ կազմ),Հովիկ Չարխչյան,,5990 դրամ,,,Ոչ գեղարվեստական,Կենսագրություն և հուշեր,,,,,https://zangakbookstore.am/sulamita-sevaki-mets-sery-girq-arajin
Սոլարիս,Ստանիսլավ Լեմ,,3990 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/solaris
"Խենթը, Խաչագողի հիշատակարան",Րաֆֆի,,4990 դրամ,,,Գեղարվեստական,Հայ դասական գրականություն,,,,,https://zangakbookstore.am/khenty-khachagokhi-hishatakaran
Անհետացած քաղաքներ,Ռայներ Կրումեներլ,,2990 դրամ,,,Մանկական,Ճանաչողական և զարգացնող,,,,,https://zangakbookstore.am/anhetatsats-qakhaqner
"Այբբենարան։ Նայի՛ր, մտածի՛ր, սովորի՛ր",Երվանդ Պետրոսյան,,4900 դրամ,,,Մանկական,Ճանաչողական և զարգացնող,,,,,https://zangakbookstore.am/aybbenaran
Ավտոմեքենաներ,Թոմաս Բրենդերբուրգ,,3990 դրամ,,,Մանկական,Ճանաչողական և զարգացնող,,,,,https://zangakbookstore.am/avtomeqenaner-1
Լուր չկա,Գուրգեն Խանջյան,,3490 դրամ,,,Գեղարվեստական,Հայ ժամանակակից արձակ,,,,,https://zangakbookstore.am/lur-chka
Եղանակներ,,Անտարես,2990 դրամ,Հայերեն,64,Մանկական,Ճանաչողական և զարգացնող,5+,9789939514574,00001095,2013,https://zangakbookstore.am/ekhanakner
Դինոզավրեր։ Կենդանի պատմություն,,,9900 դրամ,,,Մանկական,Ինտերակտիվ և խաղային,,,,,https://zangakbookstore.am/dinozavrer-1
Դիասերը: Ս-ի մահը (Կոշտ կազմ),Գաբրիել Վիտկոպ,,5990 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/diasery-s-i-mahy
