Գույնը,ISBN,Հեղինակ,Էջերի քանակը,Կոդ,Տարեթիվ,Կազմ,Արտադրող,User ID,Երկիր,Լեզու,Լրացուցիչ նկարներ
,,"Արմեն Քյուրքչյան, Հրայր Բազե Խաչերեան",,K80974,,,,,Հայաստան,Հայերեն,
,,Արմեն Քյուրքչյան,,K66983,,,,,Հայաստան,Հայերեն,
,,Давид Галфаян,,K048894,,,,,Հայաստան,Ռուսերեն,
,,Վ. Վ. Հարությունյան,,K035576,,,,,Հայաստան,Հայերեն,
,,,,K2307502,,,,,,Հայերեն,
,,,,15596,,,,,,Հայերեն,
,,,,K035023,2011,,,,,Անգլերեն,
,,Սեդա Անանյան,,K048892,,,,,Հայաստան,Հայերեն,
,,Միլն Ալեքսանդր Ալան,192,94366,,,,,,,
,,Ջերոնիմո Ստիլտոն,126,93828,,,,,,,
,,,34,80387,2015,Կոշտ,,,,,
,,Մկրտչյան Սոկրատ,64,32232,,,,,,,
,,,44,32113,2014,Կոշտ,,,,,
,,Ջուլիետա Գյուլամիրյան,112,16779,,,,,,,
,,,40,047209,2020,Կոշտ,,,,,
,,,361,15737,2021,,,,,,
,,Արուսյակ Կոստանյան,92,K80186,,,,,,,
,,,,K94715,,Կոշտ,,,,,
,,,240,K048889,2022,Կոշտ,,,,,
,,Սոֆյա Գաբրիելյան,,K048888,,,,,Հայաստան,Հայերեն,
,,Էմմա Սիմոնյան,63,023225,,,,,,,
,,,,K19147,2017,,,,,,
,,Կազմեց և խմբագրեց՝ Պարույր Սևակ,,K048886,,,,,Հայաստան,Հայերեն,
,,Կարո Վարդանյան,,K048885,,,,,Հայաստան,Հայերեն,
,,,,K048884,2012,,,,,Ռուսերեն,
,,Շաքարյան Ստեփան,,K1850601,,,,,,,
,,,,K94204,1984,,,,,,
,,,,4226204,2018,,,,Ռուսաստանի ֆեդերացիա,Ռուսերեն,
,,,448,021335,2018,Կոշտ,,,,,
,,Դիաննա Պողոսյան,240,K048879,,,,,,,
,,,,K035526,2020,,,,Հայաստան,Հայերեն,
,,,,K034771,2016,,,,Հայաստան,Հայերեն,
,,,,K034770,2019,,,,Հայաստան,Հայերեն,
,,,,K048877,2016,,,,,Այլ,
,,,8,K048873,,Կոշտ,,,,,
,,,,K71097,144,,,,,Հայերեն,
,,,,047011,2020,,,,Հայաստան,Հայերեն,
,,,575,K048866,1983,Կոշտ,,,,,
,,Շուշան Սարգսյան,64,K048864,,,,,,,
,,,,K048863,2022,,,,Հայաստան,Հայերեն,
,,Բախ Ռիչարդ,,K94857,,,,,Հայաստան,Հայերեն,
,,,,K94314,,,,,Հայաստան,Հայերեն,
,,Քիզ Դենիել,,K93489,,,,,Հայաստան,Հայերեն,
,,,,K8158080,,,,,,Հայերեն,
,,Բրեդբըրի Ռեյ,,K80702,,,,,Հայաստան,Հայերեն,
,,Միլան Կունդերա,,K80345,,,,,Հայաստան,Հայերեն,
,,,,K80129,,,,,,,
,,,,K71335,,Կոշտ,,,,,
,,,,K71064,2013,,,,Հայաստան,Հայերեն,
,,"Խաչիկ Գրիգորյան, Զարուհի Գրիգորյան",,K49971,,,,,Հայաստան,Հայերեն,
,,,,K38919,,,,,,Անգլերեն,
,,Գուլիելմո Մարկոնի,,K37184,,,,,Հայաստան,Հայերեն,
,,Հեսսե Հերման,,K32494,,,,,Հայաստան,Հայերեն,
,,Ազատ Շահինյան,,K30647,,,,,Հայաստան,Հայերեն,
,,Ավետիք Իսահակյան,,K18026,,,,,Հայաստան,Հայերեն,
,,Հրաչյա Աճառյան,,K14853,,,,,Հայաստան,Հայերեն,
,,,,K13293,2014,,,,Հայաստան,Ռուսերեն,
,,,16,K12000,- /,,,,,,
,,,,K048854,2022,,,,Հայաստան,Հայերեն,
,,,,K048851,2012,,,,Ռուսաստանի ֆեդերացիա,Ռուսերեն,
,,,,K048850,2020,,,,Հայաստան,Հայերեն,
,,,,K048849,2022,,,,Հայաստան,Ռուսերեն,
,,Իտալո Կալվինո,,K048848,,,,,,Հայերեն,
,,Կաֆկա,,K048847,,,,,,Հայերեն,
,,Մկրտիչ Արմեն,,K048845,,,,,,Հայերեն,
,,Սերգեյ Դովլաթով,,K048844,,,,,,Հայերեն,
,,Սերգեյ Դովլաթով,,K048843,,,,,,Հայերեն,
,,Աննա Բիկովա,,K048842,,,,,,Հայերեն,
,,Հայնրիխ Բյոլ,,K048840,,,,,Հայաստան,Հայերեն,
,,Միչիո Կակու,,K048839,,,,,Հայաստան,Հայերեն,
,,Սեթ Գոդին,,K048838,,,,,Հայաստան,Հայերեն,
,,Գաբրիել Գարսիա Մարկես,,K048837,,,,,Հայաստան,Հայերեն,
,,Հերման Հեսսե,,K048835,,,,,Հայաստան,Հայերեն,
,,Գաբրիել Գարսիա Մարկես,,K048834,,,,,Հայաստան,Հայերեն,
,,Պետեր Հանդքե,,K048833,,,,,Հայաստան,Հայերեն,
,,,32,K048829,2019,Կոշտ,,,,,
,,,32,K048828,,Կոշտ,,,,,
,,,32,K048827,2020,Կոշտ,,,,,
,,,,K048826,,,,,,Հայերեն,
